basepairs,assay,peak_name,model,r_value,area,quotient,file_name
229.53,prt3,3,gauss,0.997,29601.820149059055,1.012585453307741,Multi_K1__230907PRT1-4test_A04_Dx.fsa
234.02,prt3,4,gauss,0.997,29601.820149059055,1.012585453307741,Multi_K1__230907PRT1-4test_A04_Dx.fsa
195.88,prt2,5,gauss,0.992,22264.050474748175,2.26866862670674,Multi_K1__230907PRT1-4test_A04_Dx.fsa
199.0,prt2,6,gauss,0.992,22264.050474748175,2.26866862670674,Multi_K1__230907PRT1-4test_A04_Dx.fsa
266.18,prt4,7,gauss,0.996,18745.195191113402,2.5400435645243626,Multi_K1__230907PRT1-4test_A04_Dx.fsa
269.34,prt4,8,gauss,0.996,18745.195191113402,2.5400435645243626,Multi_K1__230907PRT1-4test_A04_Dx.fsa
272.38,prt4,9,gauss,0.996,18745.195191113402,2.5400435645243626,Multi_K1__230907PRT1-4test_A04_Dx.fsa
278.11,prt4,10,gauss,0.996,18745.195191113402,2.5400435645243626,Multi_K1__230907PRT1-4test_A04_Dx.fsa
281.23,prt4,11,gauss,0.996,18745.195191113402,2.5400435645243626,Multi_K1__230907PRT1-4test_A04_Dx.fsa
140.85,prt1,1,gauss,0.998,12503.13913386919,2.202262945315872,Multi_K3__230907PRT1-4test_C04_Dx.fsa
151.22,prt1,2,gauss,0.998,12503.13913386919,2.202262945315872,Multi_K3__230907PRT1-4test_C04_Dx.fsa
229.45,prt3,3,gauss,0.998,23898.533228941527,0.5774053853398401,Multi_K3__230907PRT1-4test_C04_Dx.fsa
233.96,prt3,4,gauss,0.998,23898.533228941527,0.5774053853398401,Multi_K3__230907PRT1-4test_C04_Dx.fsa
195.87,prt2,5,gauss,0.992,25360.37824576725,1.9398958884943729,Multi_K3__230907PRT1-4test_C04_Dx.fsa
199.0,prt2,6,gauss,0.992,25360.37824576725,1.9398958884943729,Multi_K3__230907PRT1-4test_C04_Dx.fsa
266.18,prt4,7,gauss,0.997,23164.922015376622,2.2652897051268988,Multi_K3__230907PRT1-4test_C04_Dx.fsa
269.35,prt4,8,gauss,0.997,23164.922015376622,2.2652897051268988,Multi_K3__230907PRT1-4test_C04_Dx.fsa
272.41,prt4,9,gauss,0.997,23164.922015376622,2.2652897051268988,Multi_K3__230907PRT1-4test_C04_Dx.fsa
278.06,prt4,10,gauss,0.997,23164.922015376622,2.2652897051268988,Multi_K3__230907PRT1-4test_C04_Dx.fsa
281.2,prt4,11,gauss,0.997,23164.922015376622,2.2652897051268988,Multi_K3__230907PRT1-4test_C04_Dx.fsa
140.77,prt1,1,gauss,0.997,19238.778012531006,1.3506862271114453,Multi_K5__230907PRT1-4test_E04_Dx.fsa
151.13,prt1,2,gauss,0.997,19238.778012531006,1.3506862271114453,Multi_K5__230907PRT1-4test_E04_Dx.fsa
229.46,prt3,3,gauss,0.997,33150.90647612602,1.0084092702854854,Multi_K5__230907PRT1-4test_E04_Dx.fsa
233.97,prt3,4,gauss,0.997,33150.90647612602,1.0084092702854854,Multi_K5__230907PRT1-4test_E04_Dx.fsa
195.82,prt2,5,gauss,0.993,26022.64074432648,0.8912803385023135,Multi_K5__230907PRT1-4test_E04_Dx.fsa
199.07,prt2,6,gauss,0.993,26022.64074432648,0.8912803385023135,Multi_K5__230907PRT1-4test_E04_Dx.fsa
266.14,prt4,7,gauss,0.996,22103.384550334442,1.0448526581878457,Multi_K5__230907PRT1-4test_E04_Dx.fsa
269.31,prt4,8,gauss,0.996,22103.384550334442,1.0448526581878457,Multi_K5__230907PRT1-4test_E04_Dx.fsa
272.37,prt4,9,gauss,0.996,22103.384550334442,1.0448526581878457,Multi_K5__230907PRT1-4test_E04_Dx.fsa
278.01,prt4,10,gauss,0.996,22103.384550334442,1.0448526581878457,Multi_K5__230907PRT1-4test_E04_Dx.fsa
281.25,prt4,11,gauss,0.996,22103.384550334442,1.0448526581878457,Multi_K5__230907PRT1-4test_E04_Dx.fsa
